"Line","Speaker","Text","Date","rownum","status","sentiment","score","Anger","Disgust","Fear","Joy","Sadness","Analytical","Confident","Tentative","Agreeableness","Conscientiousness","Emotional Range","Extraversion","Openness"
1,"Holt","Good evening from Hofstra University in Hempstead, New York. I'm Lester Holt, anchor of ""NBC Nightly News."" I want to welcome you to the first presidential debate. The participants tonight are Donald Trump and Hillary Clinton. This debate is sponsored by the Commission on Presidential Debates, a nonpartisan, nonprofit organization. The commission drafted tonight's format, and the rules have been agreed to by the campaigns. The 90-minute debate is divided into six segments, each 15 minutes long. We'll explore three topic areas tonight: Achieving prosperity; America's direction; and securing America. At the start of each segment, I will ask the same lead-off question to both candidates, and they will each have up to two minutes to respond. From that point until the end of the segment, we'll have an open discussion. The questions are mine and have not been shared with the commission or the campaigns. The audience here in the room has agreed to remain silent so that we can focus on what the candidates are saying. I will invite you to applaud, however, at this moment, as we welcome the candidates: Democratic nominee for president of the United States, Hillary Clinton, and Republican nominee for president of the United States, Donald J. Trump.","2016-09-26",1,"OK","positive",0.21262,0.37886,0.222611,0.637771,0.463191,0.054516,0.776,0,0.136,0.487,0.793,0.332,0.573,0.579
3,"Clinton","How are you, Donald?","2016-09-26",2,"OK","neutral",NA,0.196996,0.516005,0.162121,0.135425,0.282258,0,0,0,0.569,0.04,0.522,0.919,0.033
5,"Holt","Good luck to you.","2016-09-26",3,"OK","positive",0.740205,0.11082,0.041424,0.076162,0.762654,0.05539,0,0,0.992,0.948,0.214,0.061,0.978,0.069
7,"Holt","Well, I don't expect us to cover all the issues of this campaign tonight, but I remind everyone, there are two more presidential debates scheduled. We are going to focus on many of the issues that voters tell us are most important, and we're going to press for specifics. I am honored to have this role, but this evening belongs to the candidates and, just as important, to the American people. Candidates, we look forward to hearing you articulate your policies and your positions, as well as your visions and your values. So, let's begin. We're calling this opening segment ""Achieving Prosperity."" And central to that is jobs. There are two economic realities in America today. There's been a record six straight years of job growth, and new census numbers show incomes have increased at a record rate after years of stagnation. However, income inequality remains significant, and nearly half of Americans are living paycheck to paycheck. Beginning with you, Secretary Clinton, why are you a better choice than your opponent to create the kinds of jobs that will put more money into the pockets of American works?","2016-09-26",4,"OK","positive",0.2989,0.377702,0.288874,0.266181,0.216037,0.098172,0,0,0.153,0.762,0.349,0.456,0.696,0.263
8,"Clinton","Well, thank you, Lester, and thanks to Hofstra for hosting us. The central question in this election is really what kind of country we want to be and what kind of future we'll build together. Today is my granddaughter's second birthday, so I think about this a lot. First, we have to build an economy that works for everyone, not just those at the top. That means we need new jobs, good jobs, with rising incomes. I want us to invest in you. I want us to invest in your future. That means jobs in infrastructure, in advanced manufacturing, innovation and technology, clean, renewable energy, and small business, because most of the new jobs will come from small business. We also have to make the economy fairer. That starts with raising the national minimum wage and also guarantee, finally, equal pay for women's work.","2016-09-26",5,"OK","positive",0.453319,0.160729,0.035074,0.098826,0.626726,0.048191,0.303,0,0.163,0.908,0.36,0.826,0.655,0.16
9,"Clinton","I also want to see more companies do profit-sharing. If you help create the profits, you should be able to share in them, not just the executives at the top. And I want us to do more to support people who are struggling to balance family and work. I've heard from so many of you about the difficult choices you face and the stresses that you're under. So let's have paid family leave, earned sick days. Let's be sure we have affordable child care and debt-free college. How are we going to do it? We're going to do it by having the wealthy pay their fair share and close the corporate loopholes. Finally, we tonight are on the stage together, Donald Trump and I. Donald, it's good to be with you. We're going to have a debate where we are talking about the important issues facing our country. You have to judge us, who can shoulder the immense, awesome responsibilities of the presidency, who can put into action the plans that will make your life better. I hope that I will be able to earn your vote on November 8th.","2016-09-26",6,"OK","positive",0.241302,0.557075,0.109597,0.086064,0.355012,0.051916,0,0,0.151,0.976,0.499,0.423,0.969,0.028
10,"Holt","Secretary Clinton, thank you. Mr. Trump, the same question to you. It's about putting money -- more money into the pockets of American workers. You have up to two minutes.","2016-09-26",7,"OK","positive",0.136109,0.099253,0.502695,0.145614,0.40602,0.247191,0.898,0,0.453,0.598,0.911,0.005,0.894,0.309
11,"Trump","Thank you, Lester. Our jobs are fleeing the country. They're going to Mexico. They're going to many other countries. You look at what China is doing to our country in terms of making our product. They're devaluing their currency, and there's nobody in our government to fight them. And we have a very good fight. And we have a winning fight. Because they're using our country as a piggy bank to rebuild China, and many other countries are doing the same thing. So we're losing our good jobs, so many of them. When you look at what's happening in Mexico, a friend of mine who builds plants said it's the eighth wonder of the world. They're building some of the biggest plants anywhere in the world, some of the most sophisticated, some of the best plants. With the United States, as he said, not so much. So Ford is leaving. You see that, their small car division leaving. Thousands of jobs leaving Michigan, leaving Ohio. They're all leaving. And we can't allow it to happen anymore. As far as child care is concerned and so many other things, I think Hillary and I agree on that. We probably disagree a little bit as to numbers and amounts and what we're going to do, but perhaps we'll be talking about that later. But we have to stop our jobs from being stolen from us. We have to stop our companies from leaving the United States and, with it, firing all of their people. All you have to do is take a look at Carrier air conditioning in Indianapolis. They left -- fired 1,400 people. They're going to Mexico. So many hundreds and hundreds of companies are doing this.","2016-09-26",8,"OK","negative",-0.267669,0.815785,0.375729,0.680231,0.027949,0.468773,0,0,0.088,0.926,0.171,0.65,0.912,0.1
12,"Trump","We cannot let it happen. Under my plan, I'll be reducing taxes tremendously, from 35 percent to 15 percent for companies, small and big businesses. That's going to be a job creator like we haven't seen since Ronald Reagan. It's going to be a beautiful thing to watch. Companies will come. They will build. They will expand. New companies will start. And I look very, very much forward to doing it. We have to renegotiate our trade deals, and we have to stop these countries from stealing our companies and our jobs.","2016-09-26",9,"OK","positive",0.12061,0.237718,0.172971,0.155241,0.193952,0.19166,0,0.905,0,0.923,0.32,0.79,0.492,0.064
13,"Holt","Secretary Clinton, would you like to respond?","2016-09-26",10,"OK","neutral",NA,0.198663,0.443705,0.28159,0.135644,0.202337,0,0,0.545,0.937,0.051,0.771,0.966,0.021
